"","Senator","State","first.party"
"593","Charles N. Felton","California","Republican"
"594","Rebecca Latimer Felton","Georgia","Democratic"
"595","James Fenner","Rhode Island","Democratic-Republican"
"596","Reuben Fenton","New York","Republican"
"597","Homer S. Ferguson","Michigan","Republican"
"598","Bert M. Fernald","Maine","Republican"
"599","Woodbridge Nathan Ferris","Michigan","Democratic"
"600","Orris S. Ferry","Connecticut","Republican"
"601","Thomas W. Ferry","Michigan","Republican"
"602","Simeon D. Fess","Ohio","Republican"
"603","William P. Fessenden","Maine","Whig"
"604","William Few","Georgia","Democratic-Republican"
"605","Richard Stockton Field","New Jersey","Republican"
"606","William Findlay","Pennsylvania","Democratic-Republican"
"607","Hamilton Fish","New York","Whig"
"608","James Fisk","Vermont","Democratic-Republican"
"609","Graham N. Fitch","Indiana","Democratic"
"610","Peter Fitzgerald","Illinois","Republican"
"611","Thomas Fitzgerald","Michigan","Democratic"
"612","Benjamin Fitzpatrick","Alabama","Democratic"
"613","Jeff Flake","Arizona","Republican"
"614","James W. Flanagan","Texas","Republican"
"615","Ralph E. Flanders","Vermont","Republican"
"616","Duncan U. Fletcher","Florida","Democratic"
"617","Frank P. Flint","California","Republican"
"618","George G. Fogg","New Hampshire","Republican"
"619","Hiram L. Fong","Hawaii","Republican"
"620","Samuel A. Foot","Connecticut","National Republican"
"621","Solomon Foot","Vermont","Whig"
"622","Henry S. Foote","Mississippi","Democratic"
"623","Joseph B. Foraker","Ohio","Republican"
"624","Wendell H. Ford","Kentucky","Democratic"
"625","John Forsyth","Georgia","Democratic-Republican"
"626","Addison G. Foster","Washington","Republican"
"627","Dwight Foster","Massachusetts","Federalist"
"628","Ephraim H. Foster","Tennessee","Whig"
"629","Henry A. Foster","New York","Democratic"
"630","Lafayette S. Foster","Connecticut","Whig"
"631","Murphy J. Foster","Louisiana","Democratic"
"632","Theodore Foster","Rhode Island","Federalist"
"633","Joseph S. Fowler","Tennessee","Republican"
"634","Wyche Fowler","Georgia","Democratic"
"635","Sheila Frahm","Kansas","Republican"
"636","Joseph I. France","Maryland","Republican"
"637","John Brown Francis","Rhode Island","Law and Order"
"638","Al Franken","Minnesota","Democratic"
"639","Jesse Franklin","North Carolina","Democratic-Republican"
"640","James B. Frazier","Tennessee","Democratic"
"641","Lynn Frazier","North Dakota","Republican"
"642","J. Allen Frear Jr.","Delaware","Democratic"
"643","Frederick Frelinghuysen","New Jersey","Federalist"
"644","Frederick T. Frelinghuysen","New Jersey","Republican"
"645","Joseph S. Frelinghuysen","New Jersey","Republican"
"646","Theodore Frelinghuysen","New Jersey","National Republican"
"647","John C. Fremont","California","Republican"
"648","Bill Frist","Tennessee","Republican"
"649","Eligius Fromentin","Louisiana","Democratic-Republican"
"650","William P. Frye","Maine","Republican"
"651","J. William Fulbright","Arkansas","Democratic"
"652","Charles W. Fulton","Oregon","Republican"
"653","William Savin Fulton","Arkansas","Democratic"
"654","John Gaillard","South Carolina","Democratic-Republican"
"655","Albert Gallatin","Pennsylvania","Democratic-Republican"
"656","Jacob H. Gallinger","New Hampshire","Republican"
"657","Robert J. Gamble","South Dakota","Republican"
"658","David H. Gambrell","Georgia","Democratic"
"659","Obadiah Gardner","Maine","Democratic"
"660","Augustus H. Garland","Arkansas","Democratic"
"661","Jake Garn","Utah","Republican"
"662","Frank B. Gary","South Carolina","Democratic"
"663","Edward James Gay","Louisiana","Democratic"
"664","Charles Gayarré","Louisiana","Democratic"
"665","John H. Gear","Iowa","Republican"
"666","John M. Gearin","Oregon","Democratic"
"667","James Z. George","Mississippi","Democratic"
"668","Walter F. George","Georgia","Democratic"
"669","Obadiah German","New York","Democratic-Republican"
"670","Peter G. Gerry","Rhode Island","Democratic"
"671","Henry S. Geyer","Missouri","Whig"
"672","Charles H. Gibson","Maryland","Democratic"
"673","Ernest Willard Gibson","Vermont","Republican"
"674","Ernest W. Gibson Jr.","Vermont","Republican"
"675","Paris Gibson","Montana","Democratic"
"676","Randall L. Gibson","Louisiana","Democratic"
"677","Abijah Gilbert","Florida","Republican"
"678","William Branch Giles","Virginia","Democratic-Republican"
"679","Frederick H. Gillett","Massachusetts","Republican"
"680","Francis Gillette","Connecticut","Free Soiler"
"681","Guy Mark Gillette","Iowa","Democratic"
"682","Nicholas Gilman","New Hampshire","Democratic-Republican"
"683","Carter Glass","Virginia","Democratic"
"684","John Glenn","Ohio","Democratic"
"685","Otis F. Glenn","Illinois","Republican"
"686","Guy D. Goff","West Virginia","Republican"
"687","Nathan Goff Jr.","West Virginia","Republican"
"688","Phillips Lee Goldsborough","Maryland","Republican"
"689","Robert H. Goldsborough","Maryland","Federalist"
"690","George Goldthwaite","Alabama","Democratic"
"691","Barry Goldwater","Arizona","Republican"
"692","Charles Goodell","New York","Republican"
"693","Benjamin Goodhue","Massachusetts","Federalist"
"694","Frank R. Gooding","Idaho","Republican"
"695","Chauncey Goodrich","Connecticut","Federalist"
"696","Carte Goodwin","West Virginia","Democratic"
"697","James Gordon","Mississippi","Democratic"
"698","John Brown Gordon","Georgia","Democratic"
"699","Albert Gore Jr.","Tennessee","Democratic"
"700","Albert Gore Sr.","Tennessee","Democratic"
"701","Christopher Gore","Massachusetts","Federalist"
"702","Thomas Gore","Oklahoma","Democratic"
"703","Arthur P. Gorman","Maryland","Democratic"
"704","Slade Gorton","Washington","Republican"
"705","Charles C. Gossett","Idaho","Democratic"
"706","Arthur R. Gould","Maine","Republican"
"707","Bob Graham","Florida","Democratic"
"708","Frank Porter Graham","North Carolina","Democratic"
"709","William A. Graham","North Carolina","Whig"
"710","Phil Gramm","Texas","Republican"
"711","Elijah S. Grammer","Washington","Republican"
"712","Rod Grams","Minnesota","Republican"
"713","Mike Gravel","Alaska","Democratic"
"714","Dixie Bibb Graves","Alabama","Democratic"
"715","George Gray","Delaware","Democratic"
"716","William Grayson","Virginia","Democratic-Republican"
"717","James S. Green","Missouri","Democratic"
"718","Theodore F. Green","Rhode Island","Democratic"
"719","Albert C. Greene","Rhode Island","Whig"
"720","Frank L. Greene","Vermont","Republican"
"721","Ray Greene","Rhode Island","Federalist"
"722","Andrew Gregg","Pennsylvania","Democratic-Republican"
"723","Judd Gregg","New Hampshire","Republican"
"724","Robert P. Griffin","Michigan","Republican"
"725","James W. Grimes","Iowa","Republican"
"726","Dwight Griswold","Nebraska","Republican"
"727","Stanley Griswold","Ohio","Democratic-Republican"
"728","Asle Gronna","North Dakota","Republican"
"729","James B. Groome","Maryland","Democratic"
"730","La Fayette Grover","Oregon","Democratic"
"731","Ernest Gruening","Alaska","Democratic"
"732","Felix Grundy","Tennessee","Democratic"
"733","Joseph R. Grundy","Pennsylvania","Republican"
"734","Joseph F. Guffey","Pennsylvania","Democratic"
"735","Simon Guggenheim","Colorado","Republican"
"736","Walter Guion","Louisiana","Democratic"
"737","James Gunn","Georgia","Democratic-Republican"
"738","Edward J. Gurney","Florida","Republican"
"739","John Chandler Gurney","South Dakota","Republican"
"740","James Guthrie","Kentucky","Democratic"
"741","William M. Gwin","California","Democratic"
"742","Kay Hagan","North Carolina","Democratic"
"743","Chuck Hagel","Nebraska","Republican"
"744","John S. Hager","California","Democratic"
"745","Eugene Hale","Maine","Republican"
"746","Frederick Hale","Maine","Republican"
"747","John P. Hale","New Hampshire","Independent"
"748","Wilton E. Hall","South Carolina","Democratic"
"749","Morgan C. Hamilton","Texas","Republican"
"750","William T. Hamilton","Maryland","Democratic"
"751","Hannibal Hamlin","Maine","Democratic"
"752","James Henry Hammond","South Carolina","Democratic"
"753","Wade Hampton III","South Carolina","Democratic"
"754","Mark Hanna","Ohio","Republican"
"755","Robert Hanna","Indiana","National Republican"
"756","Edward A. Hannegan","Indiana","Democratic"
"757","Henry C. Hansbrough","North Dakota","Republican"
"758","Clifford P. Hansen","Wyoming","Republican"
"759","Alexander C. Hanson","Maryland","Federalist"
"760","Martin D. Hardin","Kentucky","Federalist"
"761","Benjamin F. Harding","Oregon","Democratic"
"762","Warren G. Harding","Ohio","Republican"
"763","Thomas W. Hardwick","Georgia","Democratic"
"764","Tom Harkin","Iowa","Democratic"
"765","James Harlan","Iowa","Free Soiler"
"766","Robert G. Harper","Maryland","Federalist"
"767","William Harper","South Carolina","Democratic"
"768","John W. Harreld","Oklahoma","Republican"
"769","Fred Roy Harris","Oklahoma","Democratic"
"770","Ira Harris","New York","Republican"
"771","Isham G. Harris","Tennessee","Democratic"
"772","John S. Harris","Louisiana","Republican"
"773","William A. Harris","Kansas","Populist"
"774","William J. Harris","Georgia","Democratic"
"775","Benjamin Harrison","Indiana","Republican"
"776","Pat Harrison","Mississippi","Democratic"
"777","William Henry Harrison","Ohio","National Republican"
"778","Gary Hart","Colorado","Democratic"
"779","Philip A. Hart","Michigan","Democratic"
"780","Thomas C. Hart","Connecticut","Republican"
"781","Vance Hartke","Indiana","Democratic"
"782","James M. Harvey","Kansas","Republican"
"783","Floyd K. Haskell","Colorado","Democratic"
"784","Daniel O. Hastings","Delaware","Republican"
"785","Carl Hatch","New Mexico","Democratic"
"786","Orrin Hatch","Utah","Republican"
"787","Henry D. Hatfield","West Virginia","Republican"
"788","Mark Hatfield","Oregon","Republican"
"789","Paul G. Hatfield","Montana","Democratic"
"790","William Hathaway","Maine","Democratic"
"791","Henry P. Haun","California","Democratic"
"792","Harry B. Hawes","Missouri","Democratic"
"793","Albert W. Hawkes","New Jersey","Republican"
"794","Benjamin Hawkins","North Carolina","Federalist"
"795","Paula Hawkins","Florida","Republican"
"796","Joseph R. Hawley","Connecticut","Republican"
"797","S. I. Hayakawa","California","Republican"
"798","Carl Hayden","Arizona","Democratic"
"799","Arthur P. Hayne","South Carolina","Democratic"
"800","Robert Y. Hayne","South Carolina","Democratic-Republican"
"801","Monroe Hayward","Nebraska","Republican"
"802","William H. Haywood Jr.","North Carolina","Democratic"
"803","George Hearst","California","Democratic"
"804","Felix Hebert","Rhode Island","Republican"
"805","Chic Hecht","Nevada","Republican"
"806","Howell Heflin","Alabama","Democratic"
"807","J. Thomas Heflin","Alabama","Democratic"
"808","H. John Heinz III","Pennsylvania","Republican"
"809","John Netherland Heiskell","Arkansas","Democratic"
"810","Henry Heitfeld","Idaho","Populist"
"811","Heidi Heitkamp","North Dakota","Democratic"
"812","Dean Heller","Nevada","Republican"
"813","Jesse Helms","North Carolina","Republican"
"814","James A. Hemenway","Indiana","Republican"
"815","John Hemphill","Texas","Democratic"
"816","Charles B. Henderson","Nevada","Democratic"
"817","James P. Henderson","Texas","Democratic"
"818","John Henderson","Mississippi","Whig"
"819","John B. Henderson","Missouri","Unionist"
"820","Thomas A. Hendricks","Indiana","Democratic"
"821","William Hendricks","Indiana","National Republican"
"822","Robert C. Hendrickson","New Jersey","Republican"
"823","Thomas C. Hennings Jr.","Missouri","Democratic"
"824","John Henry","Maryland","Federalist"
"825","Frank Hereford","West Virginia","Democratic"
"826","Clyde L. Herring","Iowa","Democratic"
"827","Weldon Brinton Heyburn","Idaho","Republican"
"828","Bourke B. Hickenlooper","Iowa","Republican"
"829","John J. Hickey","Wyoming","Democratic"
"830","Thomas H. Hicks","Maryland","Unionist"
"831","Anthony Higgins","Delaware","Republican"
"832","Benjamin H. Hill","Georgia","Democratic"
"833","David B. Hill","New York","Democratic"
"834","Isaac Hill","New Hampshire","Democratic"
"835","Joshua Hill","Georgia","Republican"
"836","J. Lister Hill","Alabama","Democratic"
"837","Nathaniel P. Hill","Colorado","Republican"
"838","William Luther Hill","Florida","Democratic"
"839","James Hillhouse","Connecticut","Federalist"
"840","William Hindman","Maryland","Federalist"
"841","Frank Hiscock","New York","Republican"
"842","Gilbert Hitchcock","Nebraska","Democratic"
"843","Herbert E. Hitchcock","South Dakota","Democratic"
"844","Phineas Hitchcock","Nebraska","Republican"
"845","George Frisbie Hoar","Massachusetts","Republican"
"846","John Sloss Hobart","New York","Federalist"
"847","John D. Hoblitzell Jr.","West Virginia","Republican"
"848","Kaneaster Hodges Jr.","Arkansas","Democratic"
"849","Clyde R. Hoey","North Carolina","Democratic"
"850","Spessard Holland","Florida","Democratic"
"851","Fritz Hollings","South Carolina","Democratic"
"852","Henry F. Hollis","New Hampshire","Democratic"
"853","Rufus C. Holman","Oregon","Republican"
"854","David Holmes","Mississippi","Democratic-Republican"
"855","John Holmes","Maine","Democratic-Republican"
"856","Rush D. Holt Sr.","West Virginia","Democratic"
"857","Albert J. Hopkins","Illinois","Republican"
"858","Outerbridge Horsey","Delaware","Federalist"
"859","Andrew J. Houston","Texas","Democratic"
"860","George S. Houston","Alabama","Democratic"
"861","Sam Houston","Texas","Democratic"
"862","Guy V. Howard","Minnesota","Republican"
"863","Jacob M. Howard","Michigan","Republican"
"864","John E. Howard","Maryland","Federalist"
"865","Timothy O. Howe","Wisconsin","Republican"
"866","James B. Howell","Iowa","Republican"
"867","Jeremiah B. Howell","Rhode Island","Democratic-Republican"
"868","Robert B. Howell","Nebraska","Republican"
"869","Benjamin Howland","Rhode Island","Democratic-Republican"
"870","Roman Hruska","Nebraska","Republican"
"871","Henry Hubbard","New Hampshire","Democratic"
"872","Walter Huddleston","Kentucky","Democratic"
"873","James W. Huffman","Ohio","Democratic"
"874","Daniel Elliott Huger","South Carolina","Democratic"
"875","Charles J. Hughes Jr.","Colorado","Democratic"
"876","Harold Hughes","Iowa","Democratic"
"877","James H. Hughes","Delaware","Democratic"
"878","William Hughes","New Jersey","Democratic"
"879","Cordell Hull","Tennessee","Democratic"
"880","Gordon J. Humphrey","New Hampshire","Republican"
"881","Hubert Humphrey","Minnesota","Democratic"
"882","Muriel Humphrey","Minnesota","Democratic"
"883","Robert Humphreys","Kentucky","Democratic"
"884","Lester C. Hunt","Wyoming","Democratic"
"885","John Hunter","South Carolina","Democratic-Republican"
"886","Richard C. Hunter","Nebraska","Democratic"
"887","Robert M. T. Hunter","Virginia","Democratic"
"888","William Hunter","Rhode Island","Federalist"
"889","Jabez W. Huntington","Connecticut","Whig"
"890","Eppa Hunton","Virginia","Democratic"
"891","Paul O. Husting","Wisconsin","Democratic"
"892","Tim Hutchinson","Arkansas","Republican"
"893","Kay Bailey Hutchison","Texas","Republican"
"894","John James Ingalls","Kansas","Republican"
"895","Daniel Inouye","Hawaii","Democratic"
"896","John Irby","South Carolina","Democratic"
"897","James Iredell Jr.","North Carolina","Democratic"
"898","Alfred Iverson Sr.","Georgia","Democratic"
"899","Irving Ives","New York","Republican"
"900","Ralph Izard","South Carolina","Federalist"
"901","Andrew Jackson","Tennessee","Democratic-Republican"
"902","Henry M. Jackson","Washington","Democratic"
"903","Howell E. Jackson","Tennessee","Democratic"
"904","James Jackson","Georgia","Democratic-Republican"
"905","Samuel D. Jackson","Indiana","Democratic"
"906","William P. Jackson","Maryland","Republican"
"907","Charles T. James","Rhode Island","Democratic"
"908","Ollie M. James","Kentucky","Democratic"
"909","Spencer Jarnagin","Tennessee","Whig"
"910","Thomas Jordan Jarvis","North Carolina","Democratic"
"911","Jacob Javits","New York","Republican"
"912","Jim Jeffords","Vermont","Republican"
"913","William E. Jenner","Indiana","Republican"
"914","Benning W. Jenness","New Hampshire","Democratic"
"915","Roger Jepsen","Iowa","Republican"
"916","Daniel T. Jewett","Missouri","Republican"
"917","Mike Johanns","Nebraska","Republican"
"918","Andrew Johnson","Tennessee","Democratic"
"919","Charles F. Johnson","Maine","Democratic"
"920","Edwin C. Johnson","Colorado","Democratic"
"921","Edwin S. Johnson","South Dakota","Democratic"
"922","Henry Johnson","Louisiana","Democratic-Republican"
"923","Herschel V. Johnson","Georgia","Democratic"
"924","Hiram Johnson","California","Republican"
"925","Lyndon B. Johnson","Texas","Democratic"
"926","Magnus Johnson","Minnesota","Farmer-Laborite"
"927","Martin N. Johnson","North Dakota","Republican"
"928","Reverdy Johnson","Maryland","Whig"
"929","Richard M. Johnson","Kentucky","Democratic-Republican"
"930","Robert Ward Johnson","Arkansas","Democratic"
"931","Tim Johnson","South Dakota","Democratic"
"932","Waldo P. Johnson","Missouri","Democratic"
"933","William S. Johnson","Connecticut","Federalist"
"934","Bennett Johnston","Louisiana","Democratic"
"935","John W. Johnston","Virginia","Democratic"
"936","Joseph F. Johnston","Alabama","Democratic"
"937","Josiah S. Johnston","Louisiana","National Republican"
"938","Olin D. Johnston","South Carolina","Democratic"
"939","Rienzi M. Johnston","Texas","Democratic"
"940","Samuel Johnston","North Carolina","Federalist"
"941","Benjamin F. Jonas","Louisiana","Democratic"
"942","Andrieus A. Jones","New Mexico","Democratic"
"943","Charles W. Jones","Florida","Democratic"
"944","George Jones","Georgia","Democratic-Republican"
"945","George Wallace Jones","Iowa","Democratic"
"946","James C. Jones","Tennessee","Whig"
"947","James K. Jones","Arkansas","Democratic"
"948","John P. Jones","Nevada","Republican"
"949","Wesley L. Jones","Washington","Republican"
"950","B. Everett Jordan","North Carolina","Democratic"
"951","Leonard B. Jordan","Idaho","Republican"
"952","Elias Kane","Illinois","Democratic"
"953","David Karnes","Nebraska","Republican"
"954","Nancy Landon Kassebaum","Kansas","Republican"
"955","Robert W. Kasten Jr.","Wisconsin","Republican"
"956","Ted Kaufman","Delaware","Democratic"
"957","William M. Kavanaugh","Arkansas","Democratic"
"958","Hamilton Fish Kean","New Jersey","Republican"
"959","John Kean","New Jersey","Republican"
"960","Thomas Kearns","Utah","Republican"
"961","Kenneth Keating","New York","Republican"
"962","Estes Kefauver","Tennessee","Democratic"
"963","Frank B. Kellogg","Minnesota","Republican"
"964","William P. Kellogg","Louisiana","Republican"
"965","James K. Kelly","Oregon","Democratic"
"966","William Kelly","Alabama","Democratic-Republican"
"967","James P. Kem","Missouri","Republican"
"968","Dirk Kempthorne","Idaho","Republican"
"969","John B. Kendrick","Wyoming","Democratic"
"970","John E. Kenna","West Virginia","Democratic"
"971","Anthony Kennedy","Maryland","American"
"972","John F. Kennedy","Massachusetts","Democratic"
"973","Robert F. Kennedy","New York","Democratic"
"974","Ted Kennedy","Massachusetts","Democratic"
"975","Richard R. Kenney","Delaware","Democratic"
"976","Joseph Kent","Maryland","Whig"
"977","William S. Kenyon","Iowa","Republican"
"978","John W. Kern","Indiana","Democratic"
"979","Francis Kernan","New York","Democratic"
"980","John Leeds Kerr","Maryland","Whig"
"981","Joseph Kerr","Ohio","Democratic-Republican"
"982","Robert S. Kerr","Oklahoma","Democratic"
"983","Bob Kerrey","Nebraska","Democratic"
"984","John Kerry","Massachusetts","Democratic"
"985","David M. Key","Tennessee","Democratic"
"986","Henry W. Keyes","New Hampshire","Republican"
"987","Harley M. Kilgore","West Virginia","Democratic"
"988","John Pendleton King","Georgia","Democratic"
"989","Preston King","New York","Republican"
"990","Rufus King","New York","Federalist"
"991","William H. King","Utah","Democratic"
"992","William R. King","Alabama","Democratic"
"993","William F. Kirby","Arkansas","Democratic"
"994","Paul G. Kirk","Massachusetts","Democratic"
"995","Mark Kirk","Illinois","Republican"
"996","Samuel J. Kirkwood","Iowa","Republican"
"997","Aaron Kitchell","New Jersey","Democratic-Republican"
"998","Alfred B. Kittredge","South Dakota","Republican"
"999","Nehemiah R. Knight","Rhode Island","Democratic-Republican"
"1000","William F. Knowland","California","Republican"
"1001","Philander Chase Knox","Pennsylvania","Republican"
"1002","Herb Kohl","Wisconsin","Democratic"
"1003","Bob Krueger","Texas","Democratic"
"1004","Tom Kuchel","California","Republican"
"1005","Jon Kyl","Arizona","Republican"
"1006","James H. Kyle","South Dakota","Populist"
"1007","Robert M. La Follette Jr.","Wisconsin","Republican"
"1008","Robert M. La Follette Sr.","Wisconsin","Republican"
"1009","Abner Lacock","Pennsylvania","Democratic-Republican"
"1010","Edwin F. Ladd","North Dakota","Republican"
"1011","William R. Laird, III","West Virginia","Democratic"
"1012","Lucius Q. C. Lamar","Mississippi","Democratic"
"1013","John Lambert","New Jersey","Democratic-Republican"
"1014","Mary Landrieu","Louisiana","Democratic"
"1015","Harry Lane","Oregon","Democratic"
"1016","Henry Smith Lane","Indiana","Republican"
"1017","James H. Lane","Kansas","Republican"
"1018","Joseph Lane","Oregon","Democratic"
"1019","John Langdon","New Hampshire","Federalist"
"1020","William Langer","North Dakota","Republican"
"1021","James Lanman","Connecticut","Democratic-Republican"
"1022","Elbridge G. Lapham","New York","Republican"
"1023","Octaviano A. Larrazolo","New Mexico","Republican"
"1024","Milton Latham","California","Democratic"
"1025","Asbury Latimer","South Carolina","Democratic"
"1026","Henry Latimer","Delaware","Federalist"
"1027","John Laurance","New York","Federalist"
"1028","Frank J. Lausche","Ohio","Democratic"
"1029","Frank Lautenberg","New Jersey","Democratic"
"1030","Paul Laxalt","Nevada","Republican"
"1031","Luke Lea","Tennessee","Democratic"
"1032","Edward L. Leahy","Rhode Island","Democratic"
"1033","Walter Leake","Mississippi","Democratic-Republican"
"1034","Blair Lee I","Maryland","Democratic"
"1035","Joshua B. Lee","Oklahoma","Democratic"
"1036","Richard Henry Lee","Virginia","Democratic-Republican"
"1037","Herbert H. Lehman","New York","Democratic"
"1038","Michael Leib","Pennsylvania","Democratic-Republican"
"1039","Benjamin W. Leigh","Virginia","National Republican"
"1040","George LeMieux","Florida","Republican"
"1041","Alton Asa Lennon","North Carolina","Democratic"
"1042","Irvine Lenroot","Wisconsin","Republican"
"1043","Carl Levin","Michigan","Democratic"
"1044","Dixon Hall Lewis","Alabama","Democratic"
"1045","J. Hamilton Lewis","Illinois","Democratic"
"1046","John F. Lewis","Virginia","Republican"
"1047","Joe Lieberman","Connecticut","Democratic"
"1048","Blanche Lincoln","Arkansas","Democratic"
"1049","William Lindsay","Kentucky","Democratic"
"1050","Lewis F. Linn","Missouri","Democratic"
"1051","Henry F. Lippitt","Rhode Island","Republican"
"1052","Samuel Livermore","New Hampshire","Federalist"
"1053","Edward Livingston","Louisiana","Democratic"
"1054","Edward Lloyd","Maryland","Democratic-Republican"
"1055","James Lloyd of Maryland","Maryland","Federalist"
"1056","James Lloyd of Massachusetts","Massachusetts","Federalist"
"1057","Cyrus Locher","Ohio","Democratic"
"1058","Francis Locke","North Carolina","Democratic-Republican"
"1059","Henry Cabot Lodge","Massachusetts","Republican"
"1060","Henry Cabot Lodge Jr.","Massachusetts","Republican"
"1061","Scott Loftin","Florida","Democratic"
"1062","George Logan","Pennsylvania","Democratic-Republican"
"1063","John A. Logan","Illinois","Republican"
"1064","M. M. Logan","Kentucky","Democratic"
"1065","William Logan","Kentucky","Democratic-Republican"
"1066","Augustine Lonergan","Connecticut","Democratic"
"1067","Chester I. Long","Kansas","Republican"
"1068","Edward V. Long","Missouri","Democratic"
"1069","Huey P. Long","Louisiana","Democratic"
"1070","Oren E. Long","Hawaii","Democratic"
"1071","Rose McConnell Long","Louisiana","Democratic"
"1072","Russell B. Long","Louisiana","Democratic"
"1073","William Lorimer","Illinois","Republican"
"1074","Trent Lott","Mississippi","Republican"
"1075","Walter Lowrie","Pennsylvania","Democratic-Republican"
"1076","Daniel B. Lucas","West Virginia","Democratic"
"1077","Scott W. Lucas","Illinois","Democratic"
"1078","Richard Lugar","Indiana","Republican"
"1079","Alva M. Lumpkin","South Carolina","Democratic"
"1080","Wilson Lumpkin","Georgia","Democratic"
"1081","Ernest Lundeen","Minnesota","Farmer-Laborite"
"1082","Hall S. Lusk","Oregon","Democratic"
"1083","Lucius Lyon","Michigan","Democratic"
"1084","Willis Benson Machen","Kentucky","Democratic"
"1085","Connie Mack III","Florida","Republican"
"1086","Samuel Maclay","Pennsylvania","Democratic-Republican"
"1087","William Maclay","Pennsylvania","Democratic-Republican"
"1088","Nathaniel Macon","North Carolina","Democratic-Republican"
"1089","Warren G. Magnuson","Washington","Democratic"
"1090","Allan B. Magruder","Louisiana","Democratic-Republican"
"1091","William Mahone","Virginia","Readjuster"
"1092","Francis Malbone","Rhode Island","Federalist"
"1093","Stephen Mallory","Florida","Democratic"
"1094","Stephen Mallory II","Florida","Democratic"
"1095","George W. Malone","Nevada","Republican"
"1096","Francis T. Maloney","Connecticut","Democratic"
"1097","Charles F. Manderson","Nebraska","Republican"
"1098","Willie Person Mangum","North Carolina","Democratic"
"1099","Mike Mansfield","Montana","Democratic"
"1100","Lee Mantle","Montana","Republican"
"1101","William L. Marcy","New York","Democratic"
"1102","William Marks","Pennsylvania","National Republican"
"1103","Humphrey Marshall","Kentucky","Federalist"
"1104","Gilman Marston","New Hampshire","Republican"
"1105","Alexander Martin","North Carolina","Democratic-Republican"
"1106","Edward Martin","Pennsylvania","Republican"
"1107","George B. Martin","Kentucky","Democratic"
"1108","John Martin","Kansas","Democratic"
"1109","Thomas E. Martin","Iowa","Republican"
"1110","Thomas S. Martin","Virginia","Democratic"
"1111","James Edgar Martine","New Jersey","Democratic"
"1112","Mel Martinez","Florida","Republican"
"1113","Armistead T. Mason","Virginia","Democratic-Republican"
"1114","James M. Mason","Virginia","Democratic"
"1115","Jeremiah Mason","New Hampshire","Federalist"
"1116","Jonathan Mason","Massachusetts","Federalist"
"1117","Stevens T. Mason","Virginia","Democratic-Republican"
"1118","William E. Mason","Illinois","Republican"
"1119","William A. Massey","Nevada","Republican"
"1120","Harlan Mathews","Tennessee","Democratic"
"1121","Elisha Mathewson","Rhode Island","Democratic-Republican"
"1122","Charles Mathias Jr.","Maryland","Republican"
"1123","Spark Matsunaga","Hawaii","Democratic"
"1124","Stanley Matthews","Ohio","Republican"
"1125","Mack Mattingly","Georgia","Republican"
"1126","Samuel B. Maxey","Texas","Democratic"
"1127","Burnet R. Maybank","South Carolina","Democratic"
"1128","Earle B. Mayfield","Texas","Democratic"
"1129","William G. McAdoo","California","Democratic"
"1130","George W. McBride","Oregon","Republican"
"1131","John McCain","Arizona","Republican"
"1132","Pat McCarran","Nevada","Democratic"
"1133","Eugene McCarthy","Minnesota","Democratic"
"1134","Joseph McCarthy","Wisconsin","Republican"
"1135","Claire McCaskill","Missouri","Democratic"
"1136","John L. McClellan","Arkansas","Democratic"
"1137","James A. McClure","Idaho","Republican"
"1138","Louis E. McComas","Maryland","Republican"
"1139","William J. McConnell","Idaho","Republican"
"1140","Joseph M. McCormick","Illinois","Republican"
"1141","James B. McCreary","Kentucky","Democratic"
"1142","Thomas C. McCreery","Kentucky","Democratic"
"1143","Roscoe C. McCulloch","Ohio","Republican"
"1144","Porter J. McCumber","North Dakota","Republican"
"1145","James W. McDill","Iowa","Republican"
"1146","Alexander McDonald","Arkansas","Republican"
"1147","Joseph E. McDonald","Indiana","Democratic"
"1148","James A. McDougall","California","Democratic"
"1149","George McDuffie","South Carolina","Democratic"
"1150","Samuel D. McEnery","Louisiana","Democratic"
"1151","Ernest W. McFarland","Arizona","Democratic"
"1152","Gale W. McGee","Wyoming","Democratic"
"1153","George McGill","Kansas","Democratic"
"1154","George McGovern","South Dakota","Democratic"
"1155","J. Howard McGrath","Rhode Island","Democratic"
"1156","Joseph McIlvaine","New Jersey","Democratic-Republican"
"1157","Thomas J. McIntyre","New Hampshire","Democratic"
"1158","Samuel McKean","Pennsylvania","Democratic"
"1159","Kenneth D. McKellar","Tennessee","Democratic"
"1160","John McKinley","Alabama","Democratic"
"1161","William B. McKinley","Illinois","Republican"
"1162","Louis McLane","Delaware","Democratic"
"1163","Anselm J. McLaurin","Mississippi","Democratic"
"1164","John L. McLaurin","South Carolina","Democratic"
"1165","George P. McLean","Connecticut","Republican"
"1166","John McLean","Illinois","Democratic"
"1167","Brien McMahon","Connecticut","Democratic"
"1168","William H. McMaster","South Dakota","Republican"
"1169","James McMillan","Michigan","Republican"
"1170","Samuel J. R. McMillan","Minnesota","Republican"
"1171","Patrick V. McNamara","Michigan","Democratic"
"1172","Charles L. McNary","Oregon","Republican"
"1173","John R. McPherson","New Jersey","Democratic"
"1174","John J. McRae","Mississippi","Democratic"
"1175","Samuel McRoberts","Illinois","Democratic"
"1176","James M. Mead","New York","Democratic"
"1177","Rice W. Means","Colorado","Republican"
