"","Senator","State","first.party"
"158","Kit Bond","Missouri","Republican"
"159","Homer Bone","Washington","Democratic"
"160","Newton Booth","California","Anti-Monopolist"
"161","William E. Borah","Idaho","Republican"
"162","Arthur I. Boreman","West Virginia","Republican"
"163","David L. Boren","Oklahoma","Democratic"
"164","Solon Borland","Arkansas","Democratic"
"165","Rudy Boschwitz","Minnesota","Republican"
"166","Joseph H. Bottum","South Dakota","Republican"
"167","Charles D. J. Bouligny","Louisiana","National Republican"
"168","Jonathan Bourne Jr.","Oregon","Republican"
"169","George S. Boutwell","Massachusetts","Republican"
"170","Lemuel J. Bowden","Virginia","Unionist"
"171","Thomas M. Bowen","Colorado","Republican"
"172","Eva Bowring","Nebraska","Republican"
"173","Barbara Boxer","California","Democratic"
"174","James W. Bradbury","Maine","Democratic"
"175","William Bradford","Rhode Island","Federalist"
"176","Bill Bradley","New Jersey","Democratic"
"177","Stephen R. Bradley","Vermont","Democratic-Republican"
"178","William O. Bradley","Kentucky","Republican"
"179","James H. Brady","Idaho","Republican"
"180","Nicholas F. Brady","New Jersey","Republican"
"181","Thomas Bragg","North Carolina","Democratic"
"182","Lawrence Brainerd","Vermont","Free Soiler"
"183","John Branch","North Carolina","Democratic"
"184","Frank B. Brandegee","Connecticut","Republican"
"185","Sam G. Bratton","New Mexico","Democratic"
"186","John Breaux","Louisiana","Democratic"
"187","John Breckinridge","Kentucky","Democratic-Republican"
"188","John C. Breckinridge","Kentucky","Democratic"
"189","Sidney Breese","Illinois","Democratic"
"190","Richard Brent","Virginia","Democratic-Republican"
"191","Daniel B. Brewster","Maryland","Democratic"
"192","Owen Brewster","Maine","Republican"
"193","Calvin S. Brice","Ohio","Democratic"
"194","John W. Bricker","Ohio","Republican"
"195","Styles Bridges","New Hampshire","Republican"
"196","Frank O. Briggs","New Jersey","Republican"
"197","Frank P. Briggs","Missouri","Democratic"
"198","Jesse D. Bright","Indiana","Democratic"
"199","Joseph L. Bristow","Kansas","Republican"
"200","Bill Brock","Tennessee","Republican"
"201","William E. Brock","Tennessee","Democratic"
"202","David C. Broderick","California","Democratic"
"203","Richard Brodhead","Pennsylvania","Democratic"
"204","Edward Brooke","Massachusetts","Republican"
"205","Walker Brooke","Mississippi","Whig"
"206","Smith W. Brookhart","Iowa","Republican"
"207","Charles W. Brooks","Illinois","Republican"
"208","J. Melville Broughton","North Carolina","Democratic"
"209","Edwin S. Broussard","Louisiana","Democratic"
"210","Robert F. Broussard","Louisiana","Democratic"
"211","Albert G. Brown","Mississippi","Democratic"
"212","Arthur Brown","Utah","Republican"
"213","Bedford Brown","North Carolina","Democratic"
"214","B. Gratz Brown","Missouri","Republican"
"215","Ernest S. Brown","Nevada","Republican"
"216","Ethan A. Brown","Ohio","Democratic-Republican"
"217","Fred H. Brown","New Hampshire","Democratic"
"218","Hank Brown","Colorado","Republican"
"219","James Brown","Louisiana","Democratic-Republican"
"220","John Brown","Kentucky","Democratic-Republican"
"221","Joseph E. Brown","Georgia","Democratic"
"222","Norris Brown","Nebraska","Republican"
"223","Prentiss M. Brown","Michigan","Democratic"
"224","Scott Brown","Massachusetts","Republican"
"225","Sam Brownback","Kansas","Republican"
"226","Orville H. Browning","Illinois","Republican"
"227","William G. Brownlow","Tennessee","Republican"
"228","Jim Broyhill","North Carolina","Republican"
"229","Blanche Bruce","Mississippi","Republican"
"230","William C. Bruce","Maryland","Democratic"
"231","C. Norman Brunsdale","North Dakota","Republican"
"232","Nathan P. Bryan","Florida","Democratic"
"233","Richard Bryan","Nevada","Democratic"
"234","William James Bryan","Florida","Democratic"
"235","James Buchanan","Pennsylvania","Democratic"
"236","C. Douglass Buck","Delaware","Republican"
"237","Charles R. Buckalew","Pennsylvania","Democratic"
"238","William A. Buckingham","Connecticut","Republican"
"239","James L. Buckley","New York","Conservative"
"240","Alexander Buckner","Missouri","Democratic"
"241","Morgan G. Bulkeley","Connecticut","Republican"
"242","Robert J. Bulkley","Ohio","Democratic"
"243","William B. Bulloch","Georgia","Democratic-Republican"
"244","William J. Bulow","South Dakota","Democratic"
"245","Dale Bumpers","Arkansas","Democratic"
"246","Berkeley L. Bunker","Nevada","Democratic"
